Period,Price
1,41980.09766
2,44080.64844
3,43746.44531
4,43292.66406
5,44166.60156
6,43725.98438
7,43779.69922
8,41243.83203
9,41450.22266
10,42890.74219
11,43023.97266
12,41929.75781
13,42240.11719
14,41364.66406
15,42623.53906
16,42270.52734
17,43652.25
18,43869.15234
19,43997.90234
20,43739.54297
21,43016.11719
22,43613.14063
23,42520.40234
24,43442.85547
25,42627.85547
26,42099.40234
27,42156.90234
28,42265.1875
29,44167.33203
30,44957.96875
31,42848.17578
32,44179.92188
33,44162.69141
34,43989.19531
35,43943.09766
36,46970.50391
37,46139.73047
38,46627.77734
39,46368.58594
40,42853.16797
41,42842.38281
42,41796.26953
43,42511.96875
44,43154.94531
45,42742.65234
46,41262.05859
47,41618.40625
48,41665.58594
49,41545.78516
50,39507.36719
51,39845.55078
52,40077.07422
53,39933.80859
54,41816.87109
55,42120.05469
56,42035.59375
57,43288.24609
58,42952.60938
59,42582.60547
60,43075.77344
61,43185.85938
62,42992.25
63,42583.58203
64,42658.66797
65,43084.67188
66,44318.22266
67,45301.56641
68,47147.19922
69,47771.27734
70,48293.91797
71,49958.22266
72,49742.44141
73,51826.69531
74,51938.55469
75,52160.20313
76,51662.99609
77,52122.54688
78,51779.14453
79,52284.875
80,51839.17969
81,51304.97266
82,50731.94922
83,51571.10156
84,51733.23828
85,54522.40234
86,57085.37109
87,62504.78906
88,61198.38281
89,62440.63281
90,62029.84766
91,63167.37109
92,68330.41406
93,63801.19922
94,66106.80469
95,66925.48438
96,68300.09375
97,68498.88281
98,69019.78906
99,72123.90625
100,71481.28906
101,73083.5
102,71396.59375
103,69403.77344
104,65315.11719
105,68390.625
106,67548.59375
107,61912.77344
108,67913.67188
109,65491.39063
110,63778.76172
111,64062.20313
112,67234.17188
113,69958.8125
114,69987.83594
115,69455.34375
116,70744.95313
117,69892.82813
118,69645.30469
119,71333.64844
120,69702.14844
121,65446.97266
122,65980.8125
123,68508.84375
124,67837.64063
125,68896.10938
126,69362.55469
127,71631.35938
128,69139.01563
129,70587.88281
130,70060.60938
131,67195.86719
132,63821.47266
133,65738.72656
134,63426.21094
135,63811.86328
136,61276.69141
137,63512.75391
138,63843.57031
139,64994.44141
140,64926.64453
141,66837.67969
142,66407.27344
143,64276.89844
144,64481.70703
145,63755.32031
146,63419.14063
147,63113.23047
148,63841.12109
149,60636.85547
150,58254.01172
151,59123.43359
152,62889.83594
153,63891.47266
154,64031.13281
155,63161.94922
156,62334.81641
157,61187.94141
158,63049.96094
159,60792.77734
160,60793.71094
161,61448.39453
162,62901.44922
163,61552.78906
164,66267.49219
165,65231.58203
166,67051.875
167,66940.80469
168,66278.36719
169,71448.19531
170,70136.53125
171,69122.33594
172,67929.5625
173,68526.10156
174,69265.94531
175,68518.09375
176,69394.55469
177,68296.21875
178,67578.09375
179,68364.99219
180,67491.41406
181,67706.9375
182,67751.60156
183,68804.78125
184,70567.76563
185,71082.82031
186,70757.16406
187,69342.58594
188,69305.77344
189,69647.99219
190,69512.28125
191,67332.03125
192,68241.1875
193,66756.39844
194,66011.09375
195,66191
196,66639.04688
197,66490.29688
198,65140.74609
199,64960.29688
200,64828.65625
